feature,stat,p-value,effect_size,q-value,in_group_mean,out_group_mean
HP_GLUCOCORTOCOID_INSENSITIVE_PRIMARY_HYPERALDOSTERONISM,-4.949860304131582,7.426676886807777e-07,-0.7378816079444,0.0001698658067060173,-0.6381435709780741,0.8148155240049345
HP_UNDETECTABLE_LIGHT_AND_DARK_ADAPTED_ELECTRORETINOGRAM,-4.859037179285131,1.1795798331492352e-06,-0.7243424958720256,0.0001872861187915248,-0.8686415047335327,0.5925171320419569
GOBP_COMMON_MYELOID_PROGENITOR_CELL_PROLIFERATION,-4.722802492015455,2.3261673209292374e-06,-0.7040338277634642,0.00024067251646253524,-0.810625310441306,0.6606693476784008
HAY_BONE_MARROW_CD34_POS_ERP,-4.700096710803842,2.6003831259784723e-06,-0.7006490497453707,0.0002477232906238737,-0.6031552390087968,0.7022083538379249
HP_SHOCK,-4.654685148380616,3.244761518758128e-06,-0.6938794937091834,0.00026945396230608205,-0.6953863001204753,0.716997089239352
HP_DIGENIC_INHERITANCE,-4.609273585957391,4.040783141274469e-06,-0.6871099376729964,0.0002931309494295229,-0.8088247600163698,0.5870745164506327
HP_HYPOVOLEMIC_SHOCK,-4.586567804745778,4.505921087592575e-06,-0.6837251596549028,0.0003066091047338937,-0.4584652414061486,0.8437520342789672
MILICIC_FAMILIAL_ADENOMATOUS_POLYPOSIS_UP,-4.563862023534165,5.022109145352726e-06,-0.6803403816368092,0.0003177522440461894,-0.45580941385639195,0.7285865171927327
HP_MEGAKARYOCYTOPENIA,-4.541156242322552,5.594654957538346e-06,-0.6769556036187155,0.00033310628396947066,-0.6969772420154359,0.5268441233946785
REACTOME_ACROSOME_REACTION_AND_SPERM_OOCYTE_MEMBRANE_BINDING,-4.450333117476101,8.573719573624792e-06,-0.6634164915463413,0.00040456738436665026,-0.6955715421135488,0.7377548983565086
GOBP_NUCLEIC_ACID_PHOSPHODIESTER_BOND_HYDROLYSIS,-4.4049215550528755,1.0582216471040388e-05,-0.6566469355101541,0.0004527933132396857,-0.7645604936693353,0.44887470244438715
KEGG_MEDICUS_REFERENCE_CGAS_STING_SIGNALING_PATHWAY,-4.4049215550528755,1.0582216471040388e-05,-0.6566469355101541,0.0004527933132396857,-0.7281723408067542,0.5846061658369124
HP_PRIMARY_HYPERALDOSTERONISM,-4.382215773841263,1.1747837286855088e-05,-0.6532621574920605,0.0004798934503343959,-0.4976909458010828,0.7494864690045328
REACTOME_ACYL_CHAIN_REMODELLING_OF_PC,-4.382215773841263,1.1747837286855088e-05,-0.6532621574920605,0.0004798934503343959,-0.43377957703293846,0.7384635205047935
GOBP_TRNA_THREONYLCARBAMOYLADENOSINE_METABOLIC_PROCESS,-4.314098430206425,1.602555393367916e-05,-0.6431078234377798,0.0005658253273506719,-0.7937164696311872,0.48800238042919125
GOBP_PARATHYROID_GLAND_DEVELOPMENT,-4.314098430206425,1.602555393367916e-05,-0.6431078234377798,0.0005658253273506719,-0.6659441719119881,0.6845054446578334
HP_HYPOPLASTIC_SACRUM,-4.291392648994812,1.7755603546499323e-05,-0.6397230454196862,0.0005890147326299283,-0.7211081681995138,0.5242238439593315
REACTOME_ACYL_CHAIN_REMODELLING_OF_PE,-4.291392648994812,1.7755603546499323e-05,-0.6397230454196862,0.0005890147326299283,-0.4405908441681314,0.7341212560748976
