feature,stat,p-value,effect_size,q-value,in_group_mean,out_group_mean
ANDERSEN_CHOLANGIOCARCINOMA_CLASS1,5.699151084114803,1.2040548418580981e-08,0.8495792825414881,0.0001377212852781472,1.061802125273547,-0.4677324843603543
GOBP_PROTEIN_ACTIVATION_CASCADE,5.17691811624771,2.2558116178422012e-07,0.7717293881253358,0.0001377212852781472,0.9396697625862729,-0.7015657380552881
GOBP_SEPTUM_PRIMUM_DEVELOPMENT,5.17691811624771,2.2558116178422012e-07,0.7717293881253358,0.0001377212852781472,0.764166071932777,-0.8296968102563121
HP_TENTED_UPPER_LIP_VERMILION,5.154212335036097,2.546992147241484e-07,0.7683446101072422,0.0001377212852781472,0.6049355262295154,-0.878538008541381
HP_EEG_WITH_BURST_SUPPRESSION,5.154212335036097,2.546992147241484e-07,0.7683446101072422,0.0001377212852781472,0.8923565684729108,-0.7402037929602188
ZHU_CMV_24_HR_DN,5.154212335036097,2.546992147241484e-07,0.7683446101072422,0.0001377212852781472,0.620469469573979,-0.831487774298869
GOBP_SMAD_PROTEIN_SIGNAL_TRANSDUCTION,5.154212335036097,2.546992147241484e-07,0.7683446101072422,0.0001377212852781472,0.7556865636320205,-0.8075727577805347
GOCC_BLOOD_MICROPARTICLE,5.154212335036097,2.546992147241484e-07,0.7683446101072422,0.0001377212852781472,0.8962593487913678,-0.6779023593508862
HP_NEONATAL_SHORT_LIMB_SHORT_STATURE,5.154212335036097,2.546992147241484e-07,0.7683446101072422,0.0001377212852781472,0.7110226852219812,-0.895541626590754
REACTOME_SYNDECAN_INTERACTIONS,5.131506553824484,2.8743221489805404e-07,0.7649598320891486,0.0001377212852781472,0.7406359063916216,-0.7448550812001331
HP_INTERICTAL_EEG_ABNORMALITY,5.131506553824484,2.8743221489805404e-07,0.7649598320891486,0.0001377212852781472,0.7659750636614903,-0.8298977280933368
HP_THORACOLUMBAR_SCOLIOSIS,5.131506553824484,2.8743221489805404e-07,0.7649598320891486,0.0001377212852781472,0.7353805095698666,-0.8435970108693205
HP_PECTUS_CARINATUM,5.131506553824484,2.8743221489805404e-07,0.7649598320891486,0.0001377212852781472,0.7296129389013494,-0.8163212701103721
HP_ABNORMAL_LANGUAGE_FEATURE,5.131506553824484,2.8743221489805404e-07,0.7649598320891486,0.0001377212852781472,0.642157440954029,-0.7532010391273596
GOBP_REGULATION_OF_CELL_GROWTH,5.131506553824484,2.8743221489805404e-07,0.7649598320891486,0.0001377212852781472,0.8032984795234757,-0.7844457539533186
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM,5.17691811624771,2.2558116178422012e-07,0.7717293881253358,0.0001377212852781472,0.9026711597053524,-0.4186440370170505
GOMF_GLUCURONOSYLTRANSFERASE_ACTIVITY,5.131506553824484,2.8743221489805404e-07,0.7649598320891486,0.0001377212852781472,0.8953748256324325,-0.6921918097895335
MODULE_100,5.108800772612871,3.2420998572976956e-07,0.761575054071055,0.0001377212852781472,0.8237294525034781,-0.7006890739040301
BROWNE_HCMV_INFECTION_48HR_DN,5.108800772612871,3.2420998572976956e-07,0.761575054071055,0.0001377212852781472,0.732009195013358,-0.802533141795614
JNK_DN.V1_DN,5.108800772612871,3.2420998572976956e-07,0.761575054071055,0.0001377212852781472,0.9018016192869681,-0.7231564573848938
REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM,5.108800772612871,3.2420998572976956e-07,0.761575054071055,0.0001377212852781472,0.752107447543839,-0.7546720853704253
MODULE_66,5.086094991401259,3.65511036388824e-07,0.7581902760529615,0.0001377212852781472,0.8257153744227618,-0.6955624250547755
HP_ABNORMALITY_OF_THE_CALF,5.086094991401259,3.65511036388824e-07,0.7581902760529615,0.0001377212852781472,0.7398511375933154,-0.7916101947390047
REACTOME_P130CAS_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS,5.086094991401259,3.65511036388824e-07,0.7581902760529615,0.0001377212852781472,0.8071747139897688,-0.8106285594357668
GOBP_TNFSF11_MEDIATED_SIGNALING_PATHWAY,5.086094991401259,3.65511036388824e-07,0.7581902760529615,0.0001377212852781472,0.8788475636353201,-0.6808295060047563
GOBP_MINERALOCORTICOID_SECRETION,5.086094991401259,3.65511036388824e-07,0.7581902760529615,0.0001377212852781472,0.8149020848107035,-0.7441837982291993
GOMF_INSULIN_LIKE_GROWTH_FACTOR_RECEPTOR_BINDING,5.086094991401259,3.65511036388824e-07,0.7581902760529615,0.0001377212852781472,0.8693510116485559,-0.6995204307899416
GOBP_CHONDROITIN_SULFATE_PROTEOGLYCAN_BIOSYNTHETIC_PROCESS,5.086094991401259,3.65511036388824e-07,0.7581902760529615,0.0001377212852781472,0.812394405186824,-0.6728156949441944
HP_ABNORMALITY_OF_BLOOD_CIRCULATION,5.086094991401259,3.65511036388824e-07,0.7581902760529615,0.0001377212852781472,0.7793861946380393,-0.7112036749409352
HP_ABNORMALITY_OF_FIBULA_MORPHOLOGY,5.086094991401259,3.65511036388824e-07,0.7581902760529615,0.0001377212852781472,0.8901174515601913,-0.6209688955060325
GU_PDEF_TARGETS_UP,5.086094991401259,3.65511036388824e-07,0.7581902760529615,0.0001377212852781472,0.6703996002708883,-0.7915218575843916
HP_SUBDURAL_HEMORRHAGE,5.131506553824484,2.8743221489805404e-07,0.7649598320891486,0.0001377212852781472,0.88721664260913,-0.7111248062884897
HP_ABNORMAL_CEREBRAL_VASCULAR_MORPHOLOGY,5.17691811624771,2.2558116178422012e-07,0.7717293881253358,0.0001377212852781472,0.8147476927177663,-0.7042107346809037
BIOCARTA_LYMPHOCYTE_PATHWAY,5.086094991401259,3.65511036388824e-07,0.7581902760529615,0.0001377212852781472,0.8644565340652807,-0.4987884804348068
HP_GASTROINTESTINAL_HEMORRHAGE,5.199623897459323,1.996921807233999e-07,0.7751141661434294,0.0001377212852781472,0.8431529392186987,-0.6949133590046429
MODULE_19,5.199623897459323,1.996921807233999e-07,0.7751141661434294,0.0001377212852781472,0.8045280152992403,-0.6956211563737075
HP_HEMATEMESIS,5.562916396845127,2.6530301064456805e-08,0.8292706144329267,0.0001377212852781472,1.0252981749141636,-0.7829062540764452
REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2,5.562916396845127,2.6530301064456805e-08,0.8292706144329267,0.0001377212852781472,0.8875196599333155,-0.7978426837673299
