,C1,C2,C3,C4,C5,C6
ARI score,,,,,,
colorectal,-0.06837595252278794,-0.0633925382174742,0.4696446466636577,-0.07726132911294502,-0.0865994455624397,-0.01218064838804721
pancreas,0.3047376856297464,-0.00021578589636223045,-0.07588447990591624,-0.04641896144120325,-0.043277490526721946,-0.04259092320276136
gastric,-0.0649085885005718,0.09158663633071115,0.06009085397114491,-0.031937724377575485,-0.07446179148788477,-0.038349764643808244
esophagus,-0.07239958367116923,-0.04429116554011095,-0.06808358067895866,0.5647092057874358,-0.06406367744273171,-0.06512615996298218
liver,-0.08434664970671833,0.1353588565451433,-0.07346530068551696,-0.060500793325089994,-0.016511268488454064,0.38436461621409407
bile duct,0.0810538267680465,-0.022684816826833192,-0.07000595600609577,-0.07836746683505012,0.3311882804623316,-0.0436934689447077
Cluster Matching,,,,,,
colorectal,,,paired,,,
pancreas,paired,paired,,,,
gastric,,paired,paired,,,
esophagus,,,,paired,,
liver,,paired,,,,paired
bile duct,paired,,,,paired,
