"sample","UMAP1","UMAP2","source","lineage"
"SNU869",-0.951282439870157,-0.946655173220339,"cell line","bile duct"
"SNU478",0.853562696316443,2.23401358904239,"cell line","bile duct"
"TGBC52TKB",-0.0957585403455067,-0.0503386952323145,"cell line","bile duct"
"AOVC1",-0.750307766958395,-0.868432595820286,"cell line","bile duct"
"SNU245",2.28260746049628,4.23695354557932,"cell line","bile duct"
"SNU1196",1.29381795558459,1.83981287226289,"cell line","bile duct"
"EGI1",-1.01829453652062,-1.06661193769634,"cell line","bile duct"
"KKU100",0.106941808374675,-0.0162118936799645,"cell line","bile duct"
"TFK1",0.651835011037686,2.18452812376011,"cell line","bile duct"
"ECC3",-1.03598561162682,-0.411345316178581,"cell line","bile duct"
"ECC4",0.056244720251777,0.690384880135205,"cell line","bile duct"
"SNU308",-1.12719507600935,0.0161294992665749,"cell line","bile duct"
"NOZ",0.0974532293978925,0.102861418578734,"cell line","bile duct"
"OCUG1",0.2166621658198,-0.332652721546561,"cell line","bile duct"
"G415",0.140562037989611,0.0765668587529557,"cell line","bile duct"
"TGBC1TKB",-0.739914900363323,-0.772153892948137,"cell line","bile duct"
"GB2",0.545621913130417,1.02605949518244,"cell line","bile duct"
"GB3",-2.68654949398405,-1.80738562736302,"cell line","bile duct"
"SNU1079",0.101446999434241,-4.0435098154632,"cell line","bile duct"
"HUH28",0.276773347383718,-0.384644841122353,"cell line","bile duct"
"HUCCT1",-0.764208368423858,-0.769874372660602,"cell line","bile duct"
"KKU213",-1.01904086893665,-0.418857269225825,"cell line","bile duct"
"ICC12",-1.03220059153133,-0.926234974757411,"cell line","bile duct"
"ICC2",-0.975769234210406,-0.582696507818904,"cell line","bile duct"
"ICC4",-0.0368680187134221,-3.86652950103863,"cell line","bile duct"
"ICC5",0.119879899499618,-4.0452254340821,"cell line","bile duct"
"ICC6",0.0495683150600129,-4.06783626390892,"cell line","bile duct"
"ICC8",-1.02802772294256,-0.927695297647591,"cell line","bile duct"
"ICC9",-0.583884356336956,-0.576386365177083,"cell line","bile duct"
"HKGZCC",-1.10730182222349,-0.325742856188318,"cell line","bile duct"
"KMCH1",-0.405920187460335,-0.386758311685199,"cell line","bile duct"
"RBE",0.194998591451491,-3.82503395108428,"cell line","bile duct"
"SG231",1.19835654011762,1.36161442838564,"cell line","bile duct"
"SSP25",0.266030028630643,-0.340911992963688,"cell line","bile duct"
"TKKK",-1.17751146818255,2.54656149517035,"cell line","bile duct"
"YSCCC",-0.9265327399879,-0.648352282128225,"cell line","bile duct"
"CCLP1",0.238100433587784,0.531265736576662,"cell line","bile duct"
"CCSW1",-1.08893574454809,0.135032303426171,"cell line","bile duct"
"ICC18",-1.14817861685184,-1.22409204296547,"cell line","bile duct"
"ICC11",-0.090254050121296,-3.77083131954086,"cell line","bile duct"
"ICC14",-2.71446672897325,-1.80928347742627,"cell line","bile duct"
"ICC16",-0.0345930924235289,-3.86358028331363,"cell line","bile duct"
"ICC17",-0.374167534793592,-0.88401678880812,"cell line","bile duct"
"ICC19",-0.00246500098770466,-3.94716206955024,"cell line","bile duct"
"ICC20",-0.0149910998442655,-3.87150640115134,"cell line","bile duct"
"ICC21",-0.0188839148471289,-3.89489540416784,"cell line","bile duct"
