,R1,R2,R3,R4
ARI score,,,,
ERBB2,-0.015367421067337244,-0.019860973187686197,-0.015367421067337244,0.03596660244059088
CDKN2A,-0.006143961602138615,-0.015968922050201086,-0.013943527195953643,0.03299952035212988
BRAF,0.006481869542423573,-0.051473034886994805,-0.04134276096096908,0.0538498158917861
KRAS,0.03178697214415312,-0.06532088347669739,-0.07501156213312463,0.10378560565580172
EGFR,-0.04134276096096908,-0.051473034886994805,-0.04134276096096908,0.10968323983437607
SMAD4,-0.012188540379467898,-0.06891080498478105,-0.07501403598922797,0.18358960263437296
ARID1A,0.01818759530519168,-0.055213065109236424,0.059512065168978966,-0.048048303427162174
BAP1,-0.05207418013348618,-0.06393369838685807,0.09909467884070124,-0.009593118936033252
PBRM1,-0.05207418013348618,-0.06393369838685807,0.16169996387041521,-0.04997684369347458
IDH1/2,-0.061375253215244736,-0.07453011679826242,0.2032125948084986,-0.05883983790826771
FGFR2,-0.08117185855081763,-0.09710699658517684,0.3307031351828272,-0.07740234933144825
TP53,-0.03159782754458898,-0.02815804503210398,0.21868713960037547,-0.029153868880056635
GBC,0.044321237578768345,-0.09095280160123446,-0.04174920996848544,0.03692484313903792
AC,-0.007792393161249459,-0.06393369838685807,-0.05207418013348618,0.08912265269326777
ECC,-0.001681932662005228,-0.09095280160123446,-0.07588059434067228,0.1390691779576248
ICC,0.09052904059198857,0.03929751063377687,0.28874707020655516,-0.006888577738764843
HCC,0.18448808435678216,0.3956818250399831,-0.024411519650347553,-0.012598597721297108
Cluster Matching,,,,
ERBB2,,,,paired
CDKN2A,paired,,,paired
BRAF,paired,,,paired
KRAS,paired,,,paired
EGFR,,,,paired
SMAD4,,,,paired
ARID1A,paired,,paired,
BAP1,,,paired,
PBRM1,,,paired,
IDH1/2,,,paired,
FGFR2,,,paired,
TP53,paired,paired,,paired
GBC,paired,,,paired
AC,,,,paired
ECC,paired,,,paired
ICC,,,paired,paired
HCC,paired,paired,,
