,P1,P2,P3,P4,P5
p-value,,,,,
SMAD4,0.993,0.793,0.882,0.6498,0.0018
KRAS,0.5564,0.9592,0.4062,1.0,0.054
EGFR,1.0,0.4562,0.5434,1.0,0.4476
BRAF,1.0,1.0,0.5522,0.3754,0.4298
TP53,0.4956,0.6642,0.2634,0.1682,0.9458
FGFR2,0.6854,1.0,0.5752,0.014,1.0
IDH1/2,0.1068,1.0,0.7502,0.5446,1.0
ARID1A,0.323,0.3372,0.7646,0.5036,1.0
BAP1,0.7102,1.0,0.032,1.0,1.0
PBRM1,0.2846,1.0,0.2298,1.0,1.0
ERBB2,1.0,1.0,0.2204,1.0,1.0
CDKN2A,0.846,1.0,0.113,0.7906,0.4964
AC,1.0,1.0,0.6636,1.0,0.0134
ICC,0.6158,0.082,1.0,0.0428,1.0
ECC,0.895,1.0,0.041,1.0,0.35
HCC,0.262,0.0002,0.9456,1.0,1.0
GBC,0.1816,0.8576,0.9128,0.3804,0.8388
q-value,,,,,
SMAD4,1.0,1.0,1.0,1.0,0.108
KRAS,1.0,1.0,1.0,1.0,0.81
EGFR,1.0,1.0,1.0,1.0,1.0
BRAF,1.0,1.0,1.0,1.0,1.0
TP53,1.0,1.0,1.0,1.0,1.0
FGFR2,1.0,1.0,1.0,0.42000000000000004,1.0
IDH1/2,1.0,1.0,1.0,1.0,1.0
ARID1A,1.0,1.0,1.0,1.0,1.0
BAP1,1.0,1.0,0.64,1.0,1.0
PBRM1,1.0,1.0,1.0,1.0,1.0
ERBB2,1.0,1.0,1.0,1.0,1.0
CDKN2A,1.0,1.0,1.0,1.0,1.0
GBC,0.7566666666666667,1.0,1.0,1.0,1.0
AC,1.0,1.0,1.0,1.0,0.1675
ECC,1.0,1.0,0.26749999999999996,1.0,1.0
ICC,1.0,0.41,1.0,0.26749999999999996,1.0
HCC,0.9357142857142856,0.005,1.0,1.0,1.0
