Cell_line,Subtype,DepMap_ID,RNA,ERBB2 (2064),BRAF (673),IDH1 (3417),KRAS (3845),AKT1 (207),PIK3CA (5290),CTNNB1 (1499),FGFR2 (2263)
SNU869,AC,ACH-000182,1.0,0,0,0,1,0,1,1,0.0
SNU478,AC,ACH-000377,1.0,0,0,0,0,0,0,0,0.0
TGBC52TKB,AC,ACH-001862,1.0,0,0,0,1,0,0,0,0.0
AOVC1,AC,ACH-001997,1.0,0,0,0,0,0,0,0,0.0
TGBC18TKB,AC,ACH-002023,,1,0,0,0,0,0,1,0.0
SNU1196,ECC,ACH-000461,1.0,0,0,0,0,0,0,0,0.0
EGI1,ECC,ACH-001494,1.0,0,0,0,1,0,0,0,0.0
KKU100,ECC,ACH-001536,1.0,0,0,0,1,0,0,0,0.0
TFK1,ECC,ACH-001673,1.0,0,0,0,0,0,0,0,0.0
ECC3,ECC,ACH-001841,1.0,0,0,0,0,0,0,0,0.0
ECC4,ECC,ACH-001843,1.0,0,0,0,1,0,0,1,0.0
CCC5,ECC,ACH-002647,,0,0,0,1,0,0,0,0.0
SNU308,GBC,ACH-000141,1.0,0,0,0,0,0,0,0,0.0
NOZ,GBC,ACH-001607,1.0,0,0,0,1,0,0,0,0.0
OCUG1,GBC,ACH-001619,1.0,0,0,0,0,0,0,0,0.0
G415,GBC,ACH-001850,1.0,0,0,0,1,0,0,0,0.0
TGBC1TKB,GBC,ACH-001861,1.0,0,0,0,0,0,0,0,0.0
GB2,GBC,ACH-001961,1.0,0,0,0,0,0,0,0,0.0
SNU1079,ICC,ACH-000209,1.0,0,0,1,0,0,0,0,0.0
HUCCT1,ICC,ACH-000976,1.0,0,0,0,1,0,0,0,0.0
KKU213,ICC,ACH-001538,1.0,0,0,0,1,0,0,0,0.0
ICC10,ICC,ACH-001834,1.0,0,0,0,0,0,0,0,1.0
ICC10-6,ICC,ACH-001835,1.0,0,0,0,0,0,0,0,1.0
ICC10-8,ICC,ACH-001836,1.0,0,0,0,0,0,0,0,1.0
ICC12,ICC,ACH-001838,1.0,0,1,0,0,0,0,0,0.0
ICC13-7,ICC,ACH-001839,1.0,0,0,0,0,0,0,0,1.0
ICC2,ICC,ACH-001842,1.0,0,0,0,0,1,0,0,0.0
ICC4,ICC,ACH-001844,1.0,0,0,0,0,0,0,0,0.0
ICC8,ICC,ACH-001848,1.0,0,1,0,0,1,0,0,0.0
ICC9,ICC,ACH-001849,1.0,0,0,0,1,0,0,0,0.0
HKGZCC,ICC,ACH-001852,1.0,0,0,0,1,0,0,0,0.0
KMCH1,ICC,ACH-001853,1.0,0,0,0,0,0,0,0,0.0
RBE,ICC,ACH-001856,1.0,0,0,1,1,0,0,0,0.0
SG231,ICC,ACH-001857,1.0,0,0,0,0,0,0,0,0.0
SSP25,ICC,ACH-001858,1.0,0,0,0,0,0,0,0,0.0
TKKK,ICC,ACH-001863,1.0,1,0,0,0,0,0,0,0.0
YSCCC,ICC,ACH-001864,1.0,0,0,0,0,1,1,0,0.0
CCLP1,ICC,ACH-001959,1.0,0,0,0,0,0,0,1,0.0
CCSW1,ICC,ACH-001960,1.0,0,0,0,0,0,0,0,0.0
