Cell_line,Subtype,ARID1A (8289),PIK3CA (5290),SMAD4 (4089),KRAS (3845),TP53 (7157),CDKN2A (1029),BRAF (673),PBRM1 (55193),IDH1 (3417),CTNNB1 (1499),FGFR2
SNU869,AC,0,1,1,1,0,1,0,0,0,1,0
SNU478,AC,0,0,0,0,1,1,0,0,0,0,0
TGBC52TKB,AC,0,0,0,1,0,1,0,0,0,0,0
AOVC1,AC,0,0,0,0,1,0,0,0,0,0,0
TGBC18TKB,AC,0,0,0,0,1,1,0,0,0,1,0
SNU1196,ECC,0,0,1,0,1,1,0,0,0,0,0
EGI1,ECC,0,0,0,1,1,1,0,0,0,0,0
KKU100,ECC,0,0,0,1,0,1,0,0,0,0,0
TFK1,ECC,0,0,0,0,1,1,0,0,0,0,0
ECC3,ECC,0,0,0,0,1,1,0,0,0,0,0
ECC4,ECC,1,0,0,1,0,1,0,0,0,1,0
CCC5,ECC,1,0,0,1,0,1,0,0,0,0,0
SNU308,GBC,0,0,0,0,0,0,0,0,0,0,0
NOZ,GBC,0,0,0,1,1,1,0,0,0,0,0
OCUG1,GBC,0,0,0,0,0,1,0,0,0,0,0
G415,GBC,0,0,0,1,1,0,0,0,0,0,0
TGBC1TKB,GBC,0,0,0,0,1,0,0,0,0,0,0
GB2,GBC,1,0,1,0,1,1,0,0,0,0,0
SNU1079,ICC,0,0,0,0,0,1,0,1,1,0,0
HUCCT1,ICC,0,0,0,1,1,0,0,0,0,0,0
KKU213,ICC,0,0,1,1,0,0,0,0,0,0,0
ICC10,ICC,0,0,0,0,1,0,0,0,0,0,1
ICC10-6,ICC,0,0,0,0,1,0,0,0,0,0,1
ICC10-8,ICC,0,0,0,0,1,0,0,0,0,0,0
ICC12,ICC,0,0,0,0,1,1,1,0,0,0,0
ICC13-7,ICC,0,0,0,0,0,1,0,1,0,0,1
ICC2,ICC,0,0,1,0,1,1,0,0,0,0,0
ICC4,ICC,1,0,0,0,0,1,0,0,0,0,0
ICC8,ICC,0,0,0,0,0,1,1,0,0,0,0
ICC9,ICC,0,0,0,1,0,0,0,0,0,0,0
HKGZCC,ICC,0,0,0,1,1,0,0,0,0,0,0
KMCH1,ICC,1,0,0,0,0,1,0,0,0,0,0
RBE,ICC,0,0,0,1,0,1,0,0,1,0,0
SG231,ICC,0,0,0,0,0,0,0,0,0,0,0
SSP25,ICC,0,0,1,0,1,1,0,0,0,0,0
TKKK,ICC,0,0,0,0,1,0,0,0,0,0,0
YSCCC,ICC,0,1,0,0,1,1,0,0,0,0,0
CCLP1,ICC,0,0,0,0,1,0,0,0,0,1,0
CCSW1,ICC,0,0,1,0,1,0,0,0,0,0,0
