Variable,coef,exp(coef),se(coef),z,Pr(>|z|),lower .95,upper .95,log_lower .95,log_upper .95,q-value
TNM_stage_IIIA,2.4315732253705713,11.376766225678235,0.6459497972489665,3.7643377793853183,0.00016699103233399734,3.207638148184492,40.35081383072782,1.165534886941647,3.6976115637994953,0.0036738027113479414
Regional_lymph_Node_metastasis_Yes,1.3826371187950068,3.9853977489616677,0.39902416162202664,3.465046109425078,0.0005301405767199204,1.8231470078307508,8.71207595942984,0.6005641330545451,2.1647101045354686,0.005831546343919125
TNM_stage_IV,1.5055942739064583,4.506831126765991,0.6411265357123253,2.3483574459036607,0.018856415709218304,1.282754032378978,15.834311405373118,0.24900935437736837,2.762179193435548,0.13828038186760092
Biliary_tract_stone_disease_Yes,1.0896475497720122,2.9732259737002833,0.5147816655612885,2.1167178683100976,0.03428379943181426,1.0840391573377555,8.154754033420664,0.0806940253703439,2.0986010741736805,0.18856089687497843
TNM_stage_II,0.9465740062487108,2.5768661916628073,0.506052380131246,1.8705059859677262,0.061413586530723464,0.9557389834259992,6.94775402582385,-0.04527043309930391,1.9384184455967255,0.27021978073518327
TB_total_bilirubin,0.007081934002754403,1.0071070701999587,0.004321981789135427,1.6385848780198307,0.1012997438068852,0.9986119695607965,1.0156744378828468,-0.0013889946457889652,0.015552862651297739,0.3239559571858735
Liver_fluke_Yes,0.7528826787453997,2.1231114519849155,0.46185822849557107,1.630116412990614,0.10307689546823248,0.8586938570833725,5.249370541510514,-0.1523428150693903,1.6581081725601896,0.3239559571858735
Intrahepatic_metastasis_Yes,0.40965327224157155,1.5062954201243153,0.26219080273337675,1.562424264966114,0.11818807449444872,0.9010169057840587,2.51818348592814,-0.10423125819349276,0.9235378026766358,0.32501720485973395
Age,0.017708962437826267,1.017866695835726,0.012282765786787761,1.441773192229662,0.1493663678470713,0.9936553964016349,1.0426679251614177,-0.006364816134818501,0.04178274101047114,0.3393901288495756
CA19_9,7.607091924131566e-05,1.000076073812707,5.339749147281104e-05,1.4246159724572358,0.1542682403861707,0.9999714141676725,1.0001807444116961,-2.8586240910145992e-05,0.00018072807939290445,0.3393901288495756
TNM_stage_IIIB,0.56851531162703,1.7656436738331687,0.5807960930541642,0.9788552616417325,0.32765150018954015,0.565624915952227,5.511598755685641,-0.5698241131207055,1.7068547363747655,0.6553030003790803
R4_ssGSEA,0.12675379438916723,1.1351375061511515,0.14014461051405022,0.9044500100591418,0.3657568303434301,0.8624961491452113,1.4939627952519878,-0.14792459484576456,0.40143218362409905,0.6678506969071967
Tumor_size_diameter,0.04096087052925301,1.0418113392215804,0.04811936768395422,0.851234596395408,0.39463904817243445,0.9480468509735241,1.1448493979133252,-0.05335135709013779,0.13527309814864386,0.6678506969071967
CEA_carcinoembryonic_antigen,0.002580865687170476,1.0025841989880018,0.003543836338492262,0.7282688704153066,0.46644901426953805,0.9956445865402889,1.0095721803231426,-0.004364925903378652,0.009526657277719607,0.7329913081378455
Liver_cirrhosis_Yes,0.17909375048998916,1.1961328769548563,0.40072713924103204,0.4469219400242983,0.6549314221122261,0.5453557145111003,2.6234874252943756,-0.6063170100502009,0.9645045110301791,0.7725170649931427
TNM_stage_IB,-0.3080162211400641,0.7349033969414469,0.7162668449261367,-0.43002998578250196,0.6671738288577141,0.18052726851477469,2.991697638143107,-1.7118734405154277,1.0958409982352995,0.7725170649931427
Sex_Male,-0.14240274916839793,0.8672718931040082,0.22652470750188633,-0.6286411347301358,0.5295840239035897,0.5563359072198193,1.351989916176697,-0.5863830174805652,0.3015775191437694,0.7725170649931427
Vascular_invasion_Yes,0.13715854636940572,1.1470099883743219,0.286334723041545,0.4790147171550167,0.6319281588169575,0.65439299493307,2.010461486625513,-0.42404719831527354,0.6983642910540849,0.7725170649931427
Adjuvant_therapies_TACE,-0.23499682989248646,0.7905733558272984,0.4189899138505844,-0.5608651237754818,0.5748894870491413,0.34777416155420393,1.7971612041299478,-1.0562019709251715,0.5862083111401987,0.7725170649931427
Perineural_invasion_Yes,0.07901560057986025,1.0822212052169593,0.3173498352159309,0.248985793630857,0.803371770474796,0.5810150336782275,2.015787318973011,-0.5429786469430852,0.7010098481028055,0.8416275690688338
HBsAg,0.08368349304203043,1.0872847061680118,0.3169448351700258,0.26403172967667454,0.7917554692729669,0.584197032301503,2.023611841384252,-0.5375169689772039,0.7048839550612648,0.8416275690688338
Adjuvant_therapies_No_treatment,-0.04492027987035177,0.9560736971142006,0.28292704900273974,-0.15876983140596354,0.8738502183236048,0.5491151545616086,1.6646361090569035,-0.5994471061679205,0.509606546427217,0.8738502183236048
