Variable,coef,exp(coef),se(coef),z,Pr(>|z|),lower .95,upper .95,log_lower .95,log_upper .95,q-value
R3_ssGSEA,-0.4855794266892133,0.6153405487116845,0.1771990270606355,-2.7403052643345127,0.006138214432523736,0.43479390671700985,0.8708585493937048,-0.8328831378235972,-0.13827571555482931,0.09207321648785605
iCCA_classification_Unknown,1.3765508831221096,3.961215343567977,0.4955726783346785,2.7776972849832413,0.005474559469754282,1.499671796544958,10.463107350734235,0.4052462818640868,2.3478554843801325,0.09207321648785605
Jaundice_Yes,-1.9336364742447334,0.14462132935178995,0.7572356499724231,-2.5535465403869355,0.010663202697570186,0.03278477408806721,0.6379586099112857,-3.4177910760004613,-0.4494818724890057,0.10663202697570186
Preoperative_CA19_9,0.00020626175349695473,1.000206283026915,8.99391104638511e-05,2.293348827147415,0.021827930244279346,1.000029984785721,1.000382612348247,2.998433618632544e-05,0.0003825391708077196,0.13096758146567608
TB_total_bilirubin,0.006245773401865026,1.0062653189156539,0.0026426776401293896,2.363426135303897,0.0181068357822443,1.0010667890195093,1.0114908447259345,0.0010662204044621518,0.011425326399267893,0.13096758146567608
iccStage_IA,-3.25371627996788,0.038630379438705766,1.531377155901889,-2.124699501640167,0.033611695079175066,0.001920517971922116,0.7770331948962879,-6.255160352282961,-0.25227220765279856,0.16805847539587532
iccStage_IB,-2.7784000992122704,0.062137842275983374,1.522540486220216,-1.8248448066624419,0.06802445212869172,0.0031431662815406647,1.228414629347071,-5.762524617207996,0.2057244187834551,0.24740022165603437
eccStage_IIIC,-2.5663029219087043,0.07681902701600071,1.5084520069369616,-1.701282447241923,0.08888996238796638,0.00399458922266719,1.4772890484455972,-5.5228145279123115,0.39020868409490334,0.24740022165603437
iccStage_IIIA,-2.7027563009851745,0.06702052917108532,1.5581459438622771,-1.7345976553939983,0.08281209507197262,0.003161634198574526,1.4207055744771095,-5.756666233612406,0.35115363164205693,0.24740022165603437
iccStage_IIIB,-3.168357953525558,0.042072626421804156,1.7698219176111152,-1.7902128581400836,0.07341969879487376,0.0013107639142338795,1.35043837780909,-6.637145171092958,0.30042926404184206,0.24740022165603437
Gender_Male,0.49436850181938774,1.639462594442044,0.29224103981253274,1.6916463961958117,0.09071341460721259,0.9245821150899427,2.9070837026878538,-0.07841341101771243,1.0671504146564879,0.24740022165603437
iccStage_II,-2.1955912865274363,0.11129273615052049,1.4745843138261991,-1.488956084735768,0.13649893326636187,0.006184411459341042,2.002789303606446,-5.085723433794494,0.6945408607396217,0.3149975383069889
eccStage_II,-2.0038432481556687,0.1348161543684343,1.3424868552358427,-1.4926352837947465,0.135532682095945,0.009705436038216888,1.872702618112638,-4.635069134136357,0.6273826378250198,0.3149975383069889
eccStage_IIIB,-2.0300913227212587,0.13132352777894576,1.4266006506500581,-1.423027055116096,0.15472831240947085,0.008017110423748088,2.1511327693856206,-4.826177218316779,0.7659945728742623,0.3315606694488661
HBsAg_Negative,-1.4189123678265874,0.24197705585746657,1.313576571410982,-1.0801900693938677,0.2800575496335095,0.018435536624266974,3.176088483606897,-3.9934751387277174,1.155650403074543,0.5251079055628303
eccStage_IIIA,-1.625379899588442,0.1968368827475358,1.474535721832688,-1.1022994394250898,0.27033151300089303,0.010939044691881195,3.5418776960042004,-4.515416808298282,1.2646570091213971,0.5251079055628303
Type_II_diabetes_Yes,0.37483544622015336,1.4547520099792908,0.481594080269025,0.7783223705963437,0.43637899061004704,0.5660507127610942,3.738716978582779,-0.5690716062748273,1.318742498715134,0.7700805716647889
Age,0.013660615282725616,1.013754347816048,0.018675706105868765,0.7314644600469924,0.46449550497561143,0.9773180954308737,1.051549012057181,-0.022943096070631948,0.05026432663608326,0.7741591749593524
Hypertension_Yes,0.21325362580709578,1.2376985237258586,0.35088261119424624,0.6077634485256381,0.5433443747936557,0.6222186909096499,2.4619923155854075,-0.47446365493499754,0.9009709065491891,0.8308693928235084
Lymphovascular_invasion_No,-0.5025425412414446,0.6049904892992155,0.8490229384061201,-0.591906906761404,0.5539129285490055,0.11456683407488472,3.1947595924948544,-2.166596922565808,1.161511840082919,0.8308693928235084
Perineural_invasion_Yes,0.828580287506846,2.290065197092272,1.8797940846167112,0.4407824741483815,0.6593704825584097,0.05751276149884383,91.1866944006626,-2.855748416693346,4.512908991707038,0.9419578322262996
Perineural_invasion_No,0.3843289922959159,1.4686285296833448,1.9279129940250819,0.1993497598112645,0.8419891575051883,0.03356367019015286,64.2620352893546,-3.3943110413200284,4.16296902591186,0.9769631673140945
Lymphovascular_invasion_Yes,-0.07235703787423346,0.9301987203413973,0.8779514479551028,-0.08241576233260418,0.9343161021610124,0.16644168751481575,5.198635463532844,-1.7931102560410264,1.6483961802925593,0.9769631673140945
Histology_iCCA,0.29851832887658825,1.3478602417344117,2.058426772378193,0.14502256426236462,0.8846930564150419,0.023851122213025554,76.1694655296428,-3.7359240097976962,4.332960667550873,0.9769631673140945
Cholelithiasis_Yes,0.09651109415180613,1.101321799307248,0.3529439740012971,0.27344593267216805,0.7845104484675532,0.5514266867191852,2.1995847042619285,-0.5952463834511774,0.7882685717547896,0.9769631673140945
Preoperative_CEA,0.0007275880587305549,1.0007278528151295,0.010359460974417482,0.07023416184754415,0.9440072842285738,0.9806137946038115,1.0212544846002178,-0.01957658235037588,0.021031758467836944,0.9769631673140945
Tumor_size,0.025295962030692704,1.0256186197795116,0.07046103240521752,0.35900640633842856,0.7195902967612159,0.8933247308859017,1.1775041223758327,-0.11280512379704324,0.1633970478584286,0.9769631673140945
HBsAg_Positive,-0.3333089440643016,0.7165487864618036,1.3611452035825988,-0.2448739070504871,0.806554065859547,0.04973210787259525,10.324158483192194,-3.0011045208156344,2.3344866326870313,0.9769631673140945
Presence_of_fluke_infection_Yes,0.03981755359850148,1.040620899333515,0.5709132648681338,0.06974361264438007,0.9443977284036247,0.3398836642686084,3.1860662043289305,-1.079151883839217,1.1587869910362198,0.9769631673140945
iCCA_classification_large_iBD,-0.007722659098048441,0.992307084019157,0.6411126849744955,-0.012045712522995331,0.9903891443758225,0.28244245968299075,3.48627947122322,-1.2642804316798326,1.2488351134837359,0.9903891443758225
