Variable,coef,exp(coef),se(coef),z,Pr(>|z|),lower .95,upper .95,log_lower .95,log_upper .95,q-value
TNM_stage_IIIA,2.3440286969959865,10.423143778342679,0.6411671901662311,3.6558774886598076,0.00025630374474580386,2.966444495776122,36.6236167164757,1.08736409620143,3.600693297790543,0.002877651490910501
Regional_lymph_Node_metastasis_Yes,1.4693092552763292,4.346231967169717,0.4024817496449425,3.6506233054604595,0.00026160468099186373,1.9747849799949273,9.565462824462271,0.6804595215375754,2.258158989015083,0.002877651490910501
TP63_mRNA,0.13558941590336593,1.145211591385461,0.07499999442347913,1.8078590131323926,0.07062844627286193,0.988656951032706,1.3265567876437596,-0.011407872007357978,0.28258670381408996,0.17264731311144024
TNM_stage_IV,1.3604337150812718,3.897883506096806,0.6355856273433321,2.1404412821097187,0.032319121317618424,1.12154676911648,13.546912394095248,0.11470877639704483,2.6061586537654984,0.17264731311144024
Liver_fluke_Yes,0.8696164117039561,2.385995438039722,0.45803104186462795,1.8985971085360915,0.05761746888621119,0.9722834185512433,5.855262078653172,-0.028107934152072262,1.7673407575599844,0.17264731311144024
Intrahepatic_metastasis_Yes,0.4956342128228238,1.6415389940712768,0.26842988442013155,1.84641964844378,0.0648312964510375,0.969981099219877,2.7780440992342585,-0.030478693014883283,1.021747118660531,0.17264731311144024
Biliary_tract_stone_disease_Yes,1.0104821048941441,2.74692500182824,0.5296320269357764,1.9078946391145566,0.056404835314337376,0.972799197256773,7.756582228837299,-0.027577592958925087,2.0485418027472133,0.17264731311144024
CA19_9,9.21505122833321e-05,1.0000921547582722,4.984368311198294e-05,1.8487901882430948,0.06448811469185259,0.99999445870388,1.0001898603572363,-5.541311472997744e-06,0.00018984233603968394,0.17264731311144024
TB_total_bilirubin,0.008212200055911828,1.0082460126660535,0.004302107476802263,1.908878404408418,0.056277779491247196,0.9997802484926593,1.0167834617553555,-0.00021977565624105194,0.016644175768064783,0.17264731311144024
TNM_stage_II,0.802525343292475,2.2311682858623194,0.5062689771903183,1.58517582441317,0.11292639169936808,0.8271711781553812,6.018236673742857,-0.18974361849047872,1.794794305075429,0.24843806173860977
Age,0.01699240481811679,1.0171375969508538,0.01224131416959296,1.3881193295671954,0.16510071151210448,0.9930243137628828,1.0418364150729091,-0.007000130077725298,0.04098493971395874,0.33020142302420896
Tumor_size_diameter,0.04174831033537888,1.0426320260188768,0.04721494008336977,0.884218221216882,0.3765784240005482,0.9504770412286693,1.1437220411710014,-0.0507912717602424,0.13428789243100014,0.6903937773343384
Sex_Male,-0.17180504175089595,0.8421433399561977,0.22560768575953621,-0.761521227313214,0.446345804928501,0.5411883114025401,1.310459575881467,-0.6139879804750168,0.270377896973225,0.7553544391097708
TNM_stage_IIIB,0.4044283760149682,1.4984457076917794,0.5821642923468144,0.6946980110797262,0.48724457474643945,0.4787423728155135,4.690078978584947,-0.7365926700700347,1.5454494220999713,0.7656700460301191
Vascular_invasion_Yes,0.1540400567076775,1.1665376134987526,0.28329979055707966,0.543735159156926,0.586623734212408,0.6695045420633982,2.0325627657631404,-0.40121732961193907,0.7092974430272941,0.806607634542061
CEA_carcinoembryonic_antigen,0.0018067866311367302,1.001808419853582,0.0032958126105182787,0.5482067230917617,0.5835499662777932,0.9953579205260756,1.0083007221754847,-0.004652887385272038,0.00826646064754546,0.806607634542061
TNM_stage_IB,-0.3343296701096823,0.7158177596052226,0.7128563761719663,-0.4690000416423716,0.6390696062532651,0.17701824129466742,2.894589061662291,-1.7315024935564727,1.062843153337108,0.8270312551512843
Adjuvant_therapies_TACE,-0.15845119503797472,0.8534646160826842,0.42256280971448074,-0.3749766694921349,0.7076778178668374,0.37282017382983684,1.9537618992625163,-0.9866590832844089,0.6697566932084593,0.864939555170579
Perineural_invasion_Yes,0.07778265716891494,1.0808877099438332,0.3115289027661347,0.2496803875283011,0.8028345264100273,0.5869575536617108,1.99046461574456,-0.5328027723959893,0.6883680867338193,0.9295978726852947
Adjuvant_therapies_No_treatment,0.01420990706222266,1.0143113477094592,0.27804868003005206,0.05110582456527693,0.9592411947280324,0.5881604514184366,1.749229326132025,-0.5307554917455806,0.559175305870026,0.9598231971935448
Liver_cirrhosis_Yes,0.04138423035831613,1.0422524936690158,0.40357694711491904,0.10254359336964784,0.9183252126886353,0.47254984243461806,2.2987845154335886,-0.749612050977551,0.8323805116941834,0.9598231971935448
HBsAg,0.01596255123098647,1.016090633350173,0.316871616485781,0.05037545302421481,0.9598231971935448,0.5460228770237247,1.8908368470010017,-0.6050944048041326,0.6370195072661055,0.9598231971935448
