,feature,corr,p-value,q-value,EGFRi
BRD:BRD-K03765900-001-01-9.1,BRD:BRD-K03765900-001-01-9.1,0.2634715250773169,5.604678413756555e-10,9.328987219697784e-07,
BRD:BRD-K03765900-001-01-9,XL-647,0.2634715250773169,5.604678413756555e-10,9.328987219697784e-07,1.0
BRD:BRD-K50010139-001-02-3,POZIOTINIB,0.2615624729134129,7.258428529068243e-10,9.665323429307272e-07,1.0
BRD:BRD-K70301465-001-02-6,IBRUTINIB,0.2433835486039777,7.380407104558942e-09,6.142343812769181e-06,
BRD:BRD-K73309154-003-02-8,OSI-420,0.2420035010864161,7.035441902157265e-09,6.142343812769181e-06,1.0
BRD:BRD-K68336408-001-10-9,TYRPHOSTIN-AG-1478,0.237594903184122,1.5053754541659532e-08,1.1136433082041015e-05,1.0
BRD:BRD-K76239644-001-01-8,BMS-690514,0.2331918861482587,2.727951055437516e-08,1.816269812710298e-05,1.0
BRD:BRD-K41626799-001-01-1,AZD3759,0.232756671179554,3.250489821634982e-07,0.0001202320068469,
BRD:BRD-K26603252-003-04-9,PD-153035,0.2154523125016383,4.1069240220864964e-07,0.0001439152638897,1.0
BRD:BRD-K23190681-001-01-1,AV-412,0.2092905085931279,7.342559640452814e-07,0.0002222125549369,1.0
BRD:BRD-K98572433-001-02-9,AZD8931,0.2090774603328417,6.560092844097058e-07,0.0002079861816952,1.0
BRD:BRD-K56032964-001-02-1,AP26113,0.2068277594843441,8.688119750954926e-07,0.0002515021795732,1.0
BRD:BRD-K19687926-379-07-4,LAPATINIB,0.2055252587641864,9.982005587930426e-07,0.0002769174716851,1.0
BRD:BRD-K07106112-003-03-8,BMS-599626,0.1999899156321337,2.1342094769230257e-06,0.000546521796052,1.0
BRD:BRD-A13689093-001-01-8,ONO-4059,0.1994538839933083,1.3222463877440156e-05,0.0021705890182676,
BRD:BRD-K40718343-001-02-6,AEE788,0.1985619846134619,2.277876760206222e-06,0.0005617075359056,1.0
BRD:BRD-K17702546-001-03-2,PD-168393,0.1978344467387756,2.4845395051746774e-06,0.000590788000909,1.0
BRD:BRD-K64052750-001-17-5,GEFITINIB,0.1957963011925978,3.878727298728888e-06,0.0007378447529981,1.0
BRD:BRD-K19540840-001-09-4,SARACATINIB,0.1945056088352337,3.681633167112716e-06,0.0007209504007834,
BRD:BRD-K77625799-001-07-7,VANDETANIB,0.1913952266261779,5.284531882732351e-06,0.0009773448132008,1.0
BRD:BRD-K46386702-001-02-1,ARRY-334543,0.1862576186723044,1.039682838098024e-05,0.0018216337726464,1.0
BRD:BRD-K39009484-001-01-4,ENTRECTINIB,0.1846924895972838,1.654373892636195e-05,0.0024113111086613,
BRD:BRD-K00003501-001-01-9,LAZERTINIB,0.1842782884266431,7.487135273044e-08,3.834565126763611e-05,
BRD:BRD-K31698212-001-02-9,ICOTINIB,0.181113807380789,1.7045027722332707e-05,0.0024113111086613,1.0
BRD:BRD-K70914287-300-02-8,BIBX-1382,0.1809953660234308,1.7570790940996376e-05,0.0024113111086613,1.0
BRD:BRD-K85606544-001-09-1,NERATINIB,0.1792646728535274,3.0388355305676293e-05,0.0032115185654792,1.0
BRD:BRD-K57169635-001-04-5,DACOMITINIB,0.178895002602693,2.130813268653004e-05,0.0024265739393974,1.0
BRD:BRD-K56981171-001-01-0,BRIGATINIB,0.1781404740874136,3.299725128020476e-05,0.0034327452972438,1.0
BRD:BRD-K00004690-001-01-9,SKLB-1028,0.1768662532162134,2.480563086766868e-07,0.0001008887219174,
BRD:BRD-K99964838-001-11-9,BOSUTINIB,0.1745421476919186,3.500599556701618e-05,0.0035856910536183,
BRD:BRD-K79930101-300-03-7,GW-583340,0.1712618824579284,4.771166102012976e-05,0.0048130945313943,1.0
BRD:BRD-K50388907-001-30-4,FENOFIBRATE,0.1695897223148726,8.07926297457861e-05,0.0071722310512992,
BRD:BRD-K42805893-001-04-9,OSIMERTINIB,0.1676641648980599,6.894643846424913e-05,0.0063756303790968,1.0
