,count
SMARCA2,3
SQSTM1,3
HNF1B,3
PNMA8A,2
TRIM71,2
NR5A2,2
KLB,2
ARF1,2
PXT1,2
ID2,2
CDH2,2
KDELR2,2
FRS2,2
FUT8,2
MTF1,2
TMEM165,2
TMEM245,2
FGFR1,2
SLC35B2,2
ZDHHC24,2
EIF2AK4,2
ICMT,2
MTFMT,2
BAMBI,2
UAP1,2
DMAC1,2
CALR,2
CRB3,2
ECHS1,1
NCOA4,1
UMPS,1
PFKL,1
POTED,1
SLC1A5,1
SLC25A11,1
RFT1,1
PRDM11,1
PYURF,1
PPA2,1
PRDX1,1
SCAMP3,1
SEPHS2,1
QARS1,1
RFC3,1
MTIF2,1
TIPARP,1
UQCRFS1,1
CD33,1
TRIB3,1
INPP5K,1
MPV17L2,1
SLC5A11,1
STRN3,1
TBRG4,1
RHOT2,1
HMBS,1
TPST1,1
TXNDC17,1
MRM2,1
NAT16,1
VDAC2,1
ACHE,1
PLPPR5,1
NDUFB11,1
MRPL32,1
PILRA,1
TXN2,1
ZNF658,1
FRMPD4,1
DEPDC5,1
MYEOV,1
ATOX1,1
KRBOX5,1
LILRB1,1
IHO1,1
MAOB,1
AMMECR1L,1
SLC2A4,1
RNF8,1
NDNF,1
BTBD2,1
GAD2,1
AHSG,1
ING2,1
TMEM171,1
VASH1,1
TMPPE,1
GPX2,1
PFKFB4,1
MARCKS,1
DCANP1,1
STRIP2,1
KRTAP15-1,1
ZNF667,1
CXCR6,1
NEO1,1
SPEF1,1
SAMD15,1
TPPP3,1
CASKIN1,1
MYCT1,1
AIMP1,1
MED26,1
DNAH1,1
RHOG,1
CUL1,1
DOCK10,1
RBPMS,1
ACKR4,1
NPTX1,1
ASPM,1
RTN3,1
NDC1,1
TREML2,1
WWP1,1
TBCA,1
TRIP4,1
SLC33A1,1
ANKS3,1
AXIN2,1
LIN52,1
SPTLC2,1
LIX1,1
TTC13,1
MORC4,1
IMPACT,1
RNF25,1
PPP1CC,1
RBM44,1
KIF26B,1
SEMA3A,1
FNBP1L,1
KIAA1549,1
ZNF750,1
SPAST,1
GTF2F1,1
ESX1,1
ADPGK,1
EME1,1
GSTP1,1
UBALD1,1
CTBP1,1
XYLT2,1
LMNB2,1
TWIST2,1
PHF21A,1
TMEM115,1
HARBI1,1
POLD4,1
SRRM2,1
AUTS2,1
SCAMP4,1
CREB3L1,1
RSBN1L,1
PAM16,1
IER3IP1,1
SEMA4B,1
FHIP2A,1
NDST1,1
SLC39A9,1
ICE2,1
CERS2,1
MADD,1
CERT1,1
COG6,1
TP53BP2,1
NEMP1,1
MRGPRF,1
KRR1,1
SLC10A7,1
ENTPD5,1
NFE2L2,1
TAPT1,1
ITPA,1
SPRY4,1
GJB1,1
HNF4A,1
MAFG,1
UBA5,1
SPOP,1
TM9SF3,1
CHCHD4,1
CELF1,1
CEP120,1
BMPR1A,1
FOXC2,1
UNC50,1
SAMD9,1
AMBRA1,1
SLC16A10,1
VAC14,1
SH3BGRL3,1
JAG1,1
FIG4,1
CTNNA1,1
KIF18B,1
ZNF425,1
TMEM184B,1
TMEM39A,1
PFKFB3,1
ATF4,1
LOXL2,1
UXS1,1
TNFSF10,1
ALDH3B2,1
MT1B,1
CHIC2,1
WNK4,1
STRIP1,1
AGO1,1
MAPK14,1
AQP9,1
AGTR2,1
YPEL1,1
SEC16A,1
SART1,1
PODN,1
ALG12,1
GREB1L,1
LARP4B,1
SRSF10,1
ZCWPW2,1
SYT12,1
UBE2G2,1
RNF19A,1
SGO2,1
TIAL1,1
FGFR4,1
HHEX,1
CLRN2,1
FHIP2B,1
TMEM256,1
HCLS1,1
SAYSD1,1
DUSP1,1
TBL1X,1
SLC1A6,1
HKDC1,1
POMK,1
IFT43,1
TRPV1,1
TMEM258,1
KCNG4,1
CCNE1,1
ZNF281,1
GLE1,1
TUBA8,1
GRAMD2A,1
LRRC10B,1
SDF2L1,1
SLC7A6OS,1
MYRF,1
PABIR1,1
DERL2,1
PGM5,1
DPM3,1
PLCG1,1
TRIO,1
GLIS3,1
ATP8B1,1
UGCG,1
CARD10,1
B3GNT5,1
STT3A,1
PSMA8,1
SLC1A3,1
ATAD3A,1
HS2ST1,1
GGT7,1
TOR2A,1
ALLC,1
TMC7,1
JUN,1
ANGPTL4,1
PCSK7,1
PDE10A,1
RRAS2,1
BTBD3,1
PHACTR4,1
SLC2A4RG,1
ARGLU1,1
TLE1,1
CCP110,1
HSD17B12,1
VSX1,1
ARID1B,1
DGCR6L,1
OSTM1,1
ZNF79,1
BCL10,1
LMNA,1
HDHD2,1
SIL1,1
BICC1,1
KLHL42,1
MYL12A,1
DVL2,1
FBXL18,1
PITPNB,1
ONECUT1,1
MTO1,1
SALL1,1
LIN28B,1
DHDH,1
CREBBP,1
MIDEAS,1
NPPB,1
TBK1,1
WDFY1,1
FYCO1,1
JCHAIN,1
GPR176,1
SLURP2,1
HAL,1
NNMT,1
SYNRG,1
CYRIA,1
OTULIN,1
PUDP,1
IQCF3,1
ARHGAP11A,1
MTA2,1
NDUFA11,1
GTPBP8,1
KIDINS220,1
BCL3,1
PITX2,1
JMJD6,1
EP300,1
SNAI1,1
MTA3,1
ARHGAP29,1
SOX5,1
ZNF217,1
P2RY11,1
ATL2,1
PIGU,1
TRIB1,1
ARID3A,1
SLC25A33,1
SERP2,1
PARS2,1
DET1,1
NICN1,1
MECOM,1
GPR151,1
TJP1,1
ARF4,1
DOLPP1,1
WRN,1
PDGFRB,1
PDLIM7,1
TACC1,1
ZNF100,1
SRD5A3,1
TMEM181,1
DNAJC25,1
WARS2,1
HK2,1
DOK5,1
WRAP73,1
GTPBP3,1
NADK2,1
DNAAF5,1
IFNW1,1
SPA17,1
TULP4,1
GRAMD1A,1
SOD2,1
FAM205A,1
PAX8,1
TMEM247,1
C19orf73,1
FADS1,1
TGS1,1
PCBD1,1
KMT2D,1
CLEC17A,1
DHRS7B,1
GARRE1,1
SYT11,1
UCP3,1
TWIST1,1
NOC4L,1
CCL21,1
B4GAT1,1
SEMA4C,1
FGF4,1
NBAS,1
