Cell_line,DepMap_ID,Subtype,PDX,RNA,CRISPR,Mutation,CNA,Fusion,Protein,Protein_replicates,In_house
SNU869,ACH-000182,AC,,1,1,1,1,1,1,1,
SNU478,ACH-000377,AC,,1,1,1,1,1,1,1,
TGBC52TKB,ACH-001862,AC,,1,1,1,1,1,1,1,
AOVC1,ACH-001997,AC,,1,1,1,1,1,1,1,1
TGBC18TKB,ACH-002023,AC,,,1,1,1,1,,,
SNU245,ACH-000268,ECC,,1,,1,1,1,1,1,
SNU1196,ACH-000461,ECC,,1,1,1,1,1,1,1,
EGI1,ACH-001494,ECC,,1,1,1,1,1,1,1,
KKU100,ACH-001536,ECC,,1,1,1,1,1,1,1,
TFK1,ACH-001673,ECC,,1,1,1,1,1,1,1,
ECC3,ACH-001841,ECC,1,1,1,1,1,1,1,1,1
ECC4,ACH-001843,ECC,,1,1,1,1,1,1,3,1
CCC5,ACH-002647,ECC,,,1,1,1,1,,,
SNU308,ACH-000141,GBC,,1,1,1,1,1,1,1,
NOZ,ACH-001607,GBC,,1,1,1,1,1,1,1,
OCUG1,ACH-001619,GBC,,1,1,1,1,1,1,1,
G415,ACH-001850,GBC,,1,1,1,1,1,1,1,
TGBC1TKB,ACH-001861,GBC,,1,1,1,1,1,1,1,
GB2,ACH-001961,GBC,1,1,1,1,1,1,1,1,1
TGBC24TKB,ACH-002312,GBC,,,,1,1,,,,
GB3,,GBC,,1,,1,,,1,1,1
GB4,,GBC,,,,,,,1,3,1
TGBC14TKB,,GBC,,,,,,,1,1,
JHH6,ACH-000217,HCC,,1,1,1,1,1,1,1,
SNU398,ACH-000221,HCC,,1,1,1,1,1,,,
SNU886,ACH-000316,HCC,,1,1,1,1,1,,,
SKHEP1,ACH-000361,HCC,,1,1,1,1,1,1,1,
HLF,ACH-000393,HCC,,1,1,1,1,1,1,1,
SNU449,ACH-000420,HCC,,1,1,1,1,1,1,3,
SNU475,ACH-000422,HCC,,1,1,1,1,1,1,1,
LI7,ACH-000471,HCC,,1,1,1,1,1,,,
HUH1,ACH-000475,HCC,,1,1,1,1,1,1,2,
JHH4,ACH-000476,HCC,,1,1,1,1,1,1,1,
SNU387,ACH-000478,HCC,,1,1,1,1,1,1,1,
HUH7,ACH-000480,HCC,,1,1,1,1,1,1,5,
SNU182,ACH-000483,HCC,,1,1,1,1,1,,,
SNU423,ACH-000493,HCC,,1,1,1,1,1,1,2,
SNU761,ACH-000537,HCC,,1,1,1,1,1,,,
JHH2,ACH-000577,HCC,,1,1,1,1,1,,,
HEP3B217,ACH-000625,HCC,,1,,1,1,1,1,1,
HUH6,ACH-000671,HCC,,1,1,1,1,1,1,2,
SNU878,ACH-000686,HCC,,1,,1,1,1,,,
JHH5,ACH-000734,HCC,,1,1,1,1,1,1,1,
HEPG2,ACH-000739,HCC,,1,1,1,1,1,1,3,
JHH7,ACH-000848,HCC,,1,1,1,1,1,1,3,
PLCPRF5,ACH-001318,HCC,,1,1,1,1,1,1,2,
TONG,,HCC,,,,,,,1,1,
SNU1079,ACH-000209,ICC,,1,1,1,1,1,1,1,
HUH28,ACH-000808,ICC,,1,,1,1,1,1,1,
HUCCT1,ACH-000976,ICC,,1,1,1,1,1,1,1,
KKU055,ACH-001537,ICC,,1,,1,1,1,1,1,
KKU213,ACH-001538,ICC,,1,1,1,1,1,1,1,
ICC10,ACH-001834,ICC,1,1,1,1,1,1,1,1,1
ICC10-6,ACH-001835,ICC,1,1,1,1,1,1,1,1,1
ICC10-8,ACH-001836,ICC,1,1,1,1,1,1,1,1,1
ICC12,ACH-001838,ICC,1,1,1,1,1,1,1,1,1
ICC13-7,ACH-001839,ICC,1,1,1,1,1,1,1,2,1
ICC2,ACH-001842,ICC,1,1,1,1,1,1,1,1,1
ICC4,ACH-001844,ICC,1,1,1,1,1,1,1,1,1
ICC5,ACH-001845,ICC,1,1,,1,1,1,1,1,1
ICC6,ACH-001846,ICC,1,1,,1,1,1,,,1
ICC8,ACH-001848,ICC,1,1,1,1,1,1,1,1,1
ICC9,ACH-001849,ICC,1,1,1,1,1,1,1,1,1
HKGZCC,ACH-001852,ICC,,1,1,1,1,1,1,1,
KMCH1,ACH-001853,ICC,,1,1,1,1,1,1,1,
OZ,ACH-001855,ICC,,1,,1,1,1,1,1,
RBE,ACH-001856,ICC,,1,1,1,1,1,1,1,
SG231,ACH-001857,ICC,,1,1,1,1,1,1,1,
SSP25,ACH-001858,ICC,,1,1,1,1,1,1,1,
TKKK,ACH-001863,ICC,,1,1,1,1,1,1,1,
YSCCC,ACH-001864,ICC,,1,1,1,1,1,1,1,
CCLP1,ACH-001959,ICC,,1,1,1,1,1,1,1,
CCSW1,ACH-001960,ICC,,1,1,1,1,1,1,1,
ICC18,ACH-001996,ICC,1,1,,1,1,,1,1,1
ETK1,ACH-002237,ICC,,,,1,1,,1,1,
ICC11,,ICC,1,1,,1,,,1,1,1
ICC14,,ICC,,1,,1,,,,,1
ICC16,,ICC,1,1,,1,,,1,1,1
ICC17,,ICC,1,1,,1,,,1,1,1
ICC19,,ICC,,1,,1,,,1,1,1
ICC20,,ICC,,1,,1,,,1,1,1
ICC21,,ICC,1,1,,1,,,1,2,1
ICC24,,ICC,1,1,,1,,,1,1,1
ICC25,,ICC,,1,,1,,,1,2,1
ICC26,,ICC,,1,,1,,,1,2,1
ICC7,,ICC,1,1,,1,,,1,1,1
ICC28,,ICC,,,,,,,1,2,1
