feature,p-value,effect_size,q-value
HNF1B,9.501279651036261e-05,-2.0103820968957105,0.07325486610948957
KPNA2,0.0005440565358778726,-1.7203356519258406,0.09340185916822663
ITGAV,0.0006045005300572828,-1.702650235934147,0.09340185916822663
UXS1,0.0025789486557096903,-1.4551007408835377,0.1809997553280079
NMNAT1,0.0025823570799067275,-1.4548709385470546,0.1809997553280079
UGP2,0.0030847072535862556,-1.4238487523475751,0.19009923521438618
ZBTB18,0.004655134929684635,-1.3512422934983028,0.21153843550162674
RAB5C,0.004875380607209881,-1.3430103744924105,0.21153843550162674
MBTD1,0.005833782332489784,-1.3108922669198197,0.22265470940466867
FOXA2,0.007187584893289259,-1.273203741088696,0.22265470940466867
CORO1C,0.007693662381977003,-1.2608308498099396,0.22265470940466867
ATRN,0.007787472589483233,-1.2586224460170155,0.22265470940466867
C19orf25,0.008086033545176036,-1.251758012183514,0.22265470940466867
