,D1,D2,D3,D4,D5,D6
ARI score,,,,,,
BRAF,-0.06688031210812317,-0.050893472182827505,-0.06434932490663603,-0.05465769460750049,0.3287542762141251,-0.06643365629256509
ERBB2,-0.06688031210812317,-0.050893472182827505,-0.06434932490663603,0.03895097651150843,0.11553504630567071,-0.06643365629256509
CDKN2A,-0.039355081611410096,-0.03287193363000067,-0.01899488175079421,-0.025143835917255917,0.044624701617894086,0.04061702363777605
EGFR,-0.08746697974757851,-0.059657800434058446,-0.08562132541811747,0.006801032565528197,-0.08734592264254053,0.3871619466203523
SMAD4,0.12918206574596383,0.18974973986349447,-0.09920806222480359,-0.047852751457588154,-0.10432190760059612,0.1741517378023611
ARID1A,0.19177281757625336,-0.06643365629256509,-0.012465730332094154,0.037654622852516056,-0.11256105359741235,-0.10688163181209437
TP53,0.12918206574596383,0.05252993774360241,0.1566922273936692,-0.06466322340610561,-0.06298365437490536,-0.10113101626351853
IDH1/2,-0.06688031210812317,-0.050893472182827505,0.2733063229947795,-0.05465769460750049,-0.06609614954227191,-0.06643365629256509
KRAS,0.030351294360446857,0.01156320507348009,0.10920977448630519,0.046430225974159675,0.006606239805760164,-0.0016521477921297688
PBRM1,-0.06688031210812317,-0.050893472182827505,0.08979781870053195,0.03895097651150843,-0.06609614954227191,-0.06643365629256509
FGFR2,-0.10189828631203274,-0.06429991150057307,-0.10095933378579158,0.3245214220601641,-0.10252941972135804,-0.09862171215199604
BAP1,-0.06688031210812317,-0.050893472182827505,-0.06434932490663603,0.15752195992891974,-0.06609614954227191,-0.06643365629256509
AC,-0.11131237583265163,0.19065302870653542,-0.012465730332094154,0.037654622852516056,0.004189180422069195,-0.10688163181209437
ECC,0.2589933838694988,0.11553504630567071,-0.11779692266434247,-0.06423966155143075,-0.03656051395413098,0.004189180422069195
GBC,0.14537641609464813,-0.06688031210812317,0.07485857463901015,0.009961340511823163,-0.11812605469691694,-0.11131237583265163
ICC,0.06415086169567853,0.022581616413609187,-0.018822048064607168,-0.022150589157754884,-0.012141447867658217,-0.009187599982705694
Cluster Matching,,,,,,
BRAF,,,,,paired,
ERBB2,,,,paired,paired,
CDKN2A,paired,paired,paired,paired,,
EGFR,,,,paired,,paired
SMAD4,paired,paired,,,,paired
ARID1A,paired,,,paired,,
TP53,,,,paired,paired,paired
IDH1/2,,,paired,,,
KRAS,paired,paired,paired,,paired,paired
PBRM1,,,paired,paired,,
FGFR2,,,,paired,,
BAP1,,,,paired,,
AC,,paired,,paired,paired,
ECC,paired,paired,,,,paired
GBC,paired,,paired,paired,,
ICC,,,paired,paired,paired,paired
