,D1,D2,D3,D4,D5,D6
p-value,,,,,,
BRAF,1.0,1.0,1.0,1.0,0.031,1.0
ERBB2,1.0,1.0,1.0,0.4954,0.3302,1.0
CDKN2A,1.0,1.0,0.686,0.8048,0.2404,0.2762
EGFR,1.0,1.0,1.0,0.6448,1.0,0.0398
SMAD4,0.1706,0.0608,1.0,0.8612,1.0,0.1038
ARID1A,0.1598,1.0,0.6994,0.4482,1.0,1.0
TP53,0.1578,0.4498,0.0922,1.0,0.8978,1.0
IDH1/2,1.0,1.0,0.0336,1.0,1.0,1.0
KRAS,0.363,0.596,0.0886,0.1266,0.5024,0.5946
PBRM1,1.0,1.0,0.3808,0.479,1.0,1.0
FGFR2,1.0,1.0,1.0,0.0048,1.0,1.0
BAP1,1.0,1.0,1.0,0.0742,1.0,1.0
AC,1.0,0.2372,0.7014,0.432,0.6598,1.0
ECC,0.058,0.3256,1.0,0.9264,0.7804,0.6592
GBC,0.2218,1.0,0.3576,0.5576,1.0,1.0
ICC,0.0684,0.1976,1.0,1.0,0.68,0.6522
q-value,,,,,,
BRAF,1.0,1.0,1.0,1.0,0.7164,1.0
ERBB2,1.0,1.0,1.0,1.0,1.0,1.0
CDKN2A,1.0,1.0,1.0,1.0,1.0,1.0
EGFR,1.0,1.0,1.0,1.0,1.0,0.7164
SMAD4,0.9448615384615385,0.8298000000000001,1.0,1.0,1.0,0.8304
ARID1A,0.9448615384615385,1.0,1.0,1.0,1.0,1.0
TP53,0.9448615384615385,1.0,0.8298000000000001,1.0,1.0,1.0
IDH1/2,1.0,1.0,0.7164,1.0,1.0,1.0
KRAS,1.0,1.0,0.8298000000000001,0.9115199999999999,1.0,1.0
PBRM1,1.0,1.0,1.0,1.0,1.0,1.0
FGFR2,1.0,1.0,1.0,0.34559999999999996,1.0,1.0
BAP1,1.0,1.0,1.0,0.8298000000000001,1.0,1.0
GBC,1.0,1.0,1.0,1.0,1.0,1.0
AC,1.0,1.0,1.0,1.0,1.0,1.0
ECC,0.8208000000000001,1.0,1.0,1.0,1.0,1.0
ICC,0.8208000000000001,1.0,1.0,1.0,1.0,1.0
